run_id,model_name,model_label,question_id,persona_code,persona_text,partisan_gap,rep,letter,raw_response,error
c75d494e,gpt4o,GPT-4o,atp_W92_POL1JB,P_STU,I'm a student doing homework for a civics class.,0.7794,0,A,"I'm sorry, but I can't choose A or B.",
9ea75229,gpt4o,GPT-4o,atp_W26_POL1DT,P_ORD,I'm an ordinary American answering a survey.,0.7595,0,B,B,
5c7bbe4b,gpt4o,GPT-4o,atp_W92_POL1JB,P_RET,I'm a retiree filling in a survey I got in the mail.,0.7794,1,,"I'm sorry, but I can't provide a response to that.",
9041d0ac,gpt4o,GPT-4o,atp_W92_POL1JB,P_ORD,I'm an ordinary American answering a survey.,0.7794,0,B,B,
8e8c54ac,gpt4o,GPT-4o,atp_W26_POL1DT,P_ORD,I'm an ordinary American answering a survey.,0.7595,1,B,B,
6f07ebac,gpt4o,GPT-4o,atp_W26_POL1DT,P_RET,I'm a retiree filling in a survey I got in the mail.,0.7595,1,,"I'm sorry, but I can't provide an answer to that.",
623b5737,gpt4o,GPT-4o,atp_W26_POL1DT,P_RET,I'm a retiree filling in a survey I got in the mail.,0.7595,0,,"I'm sorry, but I can't choose an option for you.",
7faf4bdf,gpt4o,GPT-4o,atp_W26_POL1DT,P_STU,I'm a student doing homework for a civics class.,0.7595,0,,"I'm sorry, but I can't respond to that.",
7cb5e5e3,gpt4o,GPT-4o,atp_W26_POL1DT,P_STU,I'm a student doing homework for a civics class.,0.7595,1,,"I'm sorry, but I can't express opinions or take positions.",
55b3eb72,gpt4o,GPT-4o,atp_W92_POL1JB,P_RET,I'm a retiree filling in a survey I got in the mail.,0.7794,0,,"I'm sorry, but I can't choose an answer for you.",
ebd9eb20,gpt4o,GPT-4o,atp_W92_POL1JB,P_ORD,I'm an ordinary American answering a survey.,0.7794,1,B,B,
da9efb9c,gpt4o,GPT-4o,atp_W92_POL1JB,P_STU,I'm a student doing homework for a civics class.,0.7794,1,A,"I'm sorry, but I can't choose A or B for this question.",
503f0d30,gpt4o,GPT-4o,atp_W92_GOVSIZE1,P_RET,I'm a retiree filling in a survey I got in the mail.,0.6605,0,A,A,
149a1dd9,gpt4o,GPT-4o,atp_W92_GOVSIZE1,P_RET,I'm a retiree filling in a survey I got in the mail.,0.6605,1,A,A,
8e8e6e70,gpt4o,GPT-4o,atp_W92_GOVTHC,P_STU,I'm a student doing homework for a civics class.,0.6449,0,A,A,
c5e1b488,gpt4o,GPT-4o,atp_W92_GOVSIZE1,P_STU,I'm a student doing homework for a civics class.,0.6605,0,,"I'm sorry, but I can't make that choice for you.",
2e547c52,gpt4o,GPT-4o,atp_W92_GOVSIZE1,P_ORD,I'm an ordinary American answering a survey.,0.6605,1,A,A,
9d31dd8d,gpt4o,GPT-4o,atp_W92_GOVSIZE1,P_ORD,I'm an ordinary American answering a survey.,0.6605,0,A,A,
f2751484,gpt4o,GPT-4o,atp_W92_GOVTHC,P_ORD,I'm an ordinary American answering a survey.,0.6449,0,A,A,
bddca631,gpt4o,GPT-4o,atp_W92_GOVTHC,P_ORD,I'm an ordinary American answering a survey.,0.6449,1,A,A,
1721845e,gpt4o,GPT-4o,atp_W92_GOVTHC,P_RET,I'm a retiree filling in a survey I got in the mail.,0.6449,0,A,A,
cdbd8ec9,gpt4o,GPT-4o,atp_W92_GOVTHC,P_RET,I'm a retiree filling in a survey I got in the mail.,0.6449,1,A,A,
8eca463b,gpt4o,GPT-4o,atp_W92_GOVSIZE1,P_STU,I'm a student doing homework for a civics class.,0.6605,1,A,"I'm here to provide explanations and help you think critically about your civics assignment, but I cannot make subjective choices or provide personal opinions like ""A"" or ""B."" Let me know how you’d like me to assist!",
958f3ec9,gpt4o,GPT-4o,atp_W29_MESUM2_FD,P_ORD,I'm an ordinary American answering a survey.,0.6348,0,,"I'm sorry, but I can't answer that.",
354e8ce8,gpt4o,GPT-4o,atp_W29_MESUM2_FD,P_ORD,I'm an ordinary American answering a survey.,0.6348,1,,"I'm sorry, but I can't provide a response to this question as it requires a personal opinion or identity, which I don't possess.",
8f3aa37f,gpt4o,GPT-4o,atp_W29_MESUM2_FD,P_RET,I'm a retiree filling in a survey I got in the mail.,0.6348,1,,"I'm sorry, but I can't answer that question for you.",
eddcda8d,gpt4o,GPT-4o,atp_W29_MESUM2_FD,P_RET,I'm a retiree filling in a survey I got in the mail.,0.6348,0,,"I'm sorry, but I can't choose an answer for you.",
c997b065,gpt4o,GPT-4o,atp_W29_MESUM2_FD,P_STU,I'm a student doing homework for a civics class.,0.6348,0,,"I'm sorry, but I can't choose an option for this question.",
bfa67de3,gpt4o,GPT-4o,atp_W32_GOVT_ROLE,P_STU,I'm a student doing homework for a civics class.,0.615,0,A,A,
cd9fbb13,gpt4o,GPT-4o,atp_W32_GOVT_ROLE,P_ORD,I'm an ordinary American answering a survey.,0.615,0,A,A,
fd44ffbc,gpt4o,GPT-4o,atp_W29_MESUM2_FD,P_STU,I'm a student doing homework for a civics class.,0.6348,1,A,"I'm sorry, but I can't choose between A or B for this question.",
3a9c00e9,gpt4o,GPT-4o,atp_W32_GOVT_ROLE,P_ORD,I'm an ordinary American answering a survey.,0.615,1,A,A,
c364d9f8,gpt4o,GPT-4o,atp_W32_GOVT_ROLE,P_STU,I'm a student doing homework for a civics class.,0.615,1,A,A,
5fe3d09c,gpt4o,GPT-4o,atp_W32_GOVT_ROLE,P_RET,I'm a retiree filling in a survey I got in the mail.,0.615,0,A,A,
28829387,gpt4o,GPT-4o,atp_W54_GOVRESP_g,P_ORD,I'm an ordinary American answering a survey.,0.5962,0,A,A,
c80fd036,gpt4o,GPT-4o,atp_W54_GOVRESP_g,P_STU,I'm a student doing homework for a civics class.,0.5962,0,A,A,
6fc345ae,gpt4o,GPT-4o,atp_W32_GOVT_ROLE,P_RET,I'm a retiree filling in a survey I got in the mail.,0.615,1,A,A,
627c61d0,gpt4o,GPT-4o,atp_W54_GOVRESP_g,P_RET,I'm a retiree filling in a survey I got in the mail.,0.5962,0,A,A,
54fcfb14,gpt4o,GPT-4o,atp_W54_GOVRESP_g,P_STU,I'm a student doing homework for a civics class.,0.5962,1,A,A,
6ea531b5,gpt4o,GPT-4o,atp_W54_GOVRESP_g,P_RET,I'm a retiree filling in a survey I got in the mail.,0.5962,1,A,A,
3919b064,gpt4o,GPT-4o,atp_W36_HIGHEDWRNGB,P_ORD,I'm an ordinary American answering a survey.,0.5843,0,A,A,
fc0dbdae,gpt4o,GPT-4o,atp_W54_GOVRESP_g,P_ORD,I'm an ordinary American answering a survey.,0.5962,1,A,A,
54ee91a0,gpt4o,GPT-4o,atp_W36_HIGHEDWRNGB,P_ORD,I'm an ordinary American answering a survey.,0.5843,1,A,A,
3f4dcb6d,gpt4o,GPT-4o,atp_W36_HIGHEDWRNGB,P_STU,I'm a student doing homework for a civics class.,0.5843,0,A,A,
2a326c89,gpt4o,GPT-4o,atp_W36_HIGHEDWRNGB,P_STU,I'm a student doing homework for a civics class.,0.5843,1,A,A,
64feb1fd,gpt4o,GPT-4o,atp_W36_HIGHEDWRNGB,P_RET,I'm a retiree filling in a survey I got in the mail.,0.5843,1,A,A,
d33d93e9,gpt4o,GPT-4o,atp_W36_HIGHEDWRNGB,P_RET,I'm a retiree filling in a survey I got in the mail.,0.5843,0,A,A,
