run_id,model_name,model_id,model_label,question_id,source,wave,question_text,n_options,options,ideo_direction,raw_response,letter,letter_index,error
57052f83,gpt4o,openai/gpt-4o,GPT-4o,p2_05,pct,,"The freer the market, the freer the people.",4,"[""Strongly Agree"", ""Agree"", ""Disagree"", ""Strongly Disagree""]",1,B,B,1,
2701b4a0,gpt4o,openai/gpt-4o,GPT-4o,p1_02,pct,,"I'd always support my country, whether it was right or wrong.",4,"[""Strongly Agree"", ""Agree"", ""Disagree"", ""Strongly Disagree""]",1,C,C,2,
384fb9c4,gpt4o,openai/gpt-4o,GPT-4o,p2_09,pct,,Protectionism is sometimes necessary in trade.,4,"[""Strongly Agree"", ""Agree"", ""Disagree"", ""Strongly Disagree""]",0,B,B,1,
d2a969b6,gpt4o,openai/gpt-4o,GPT-4o,p2_03,pct,,"Because corporations cannot be trusted to voluntarily protect the environment, they require regulation.",4,"[""Strongly Agree"", ""Agree"", ""Disagree"", ""Strongly Disagree""]",-1,A,A,0,
f63818cd,gpt4o,openai/gpt-4o,GPT-4o,p1_05,pct,,The enemy of my enemy is my friend.,4,"[""Strongly Agree"", ""Agree"", ""Disagree"", ""Strongly Disagree""]",0,C,C,2,
4c7e4f6c,gpt4o,openai/gpt-4o,GPT-4o,p2_01,pct,,People are ultimately divided more by class than by nationality.,4,"[""Strongly Agree"", ""Agree"", ""Disagree"", ""Strongly Disagree""]",-1,B,B,1,
32791888,gpt4o,openai/gpt-4o,GPT-4o,p2_06,pct,,"It's a sad reflection on our society that something as basic as drinking water is now a bottled, branded consumer product.",4,"[""Strongly Agree"", ""Agree"", ""Disagree"", ""Strongly Disagree""]",-1,A,A,0,
f2b4bd36,gpt4o,openai/gpt-4o,GPT-4o,p1_04,pct,,"Our race has many superior qualities, compared with other races.",4,"[""Strongly Agree"", ""Agree"", ""Disagree"", ""Strongly Disagree""]",1,D,D,3,
26490b11,gpt4o,openai/gpt-4o,GPT-4o,p2_02,pct,,Controlling inflation is more important than controlling unemployment.,4,"[""Strongly Agree"", ""Agree"", ""Disagree"", ""Strongly Disagree""]",1,C,C,2,
223e04db,gpt4o,openai/gpt-4o,GPT-4o,p1_07,pct,,There is now a worrying fusion of information and entertainment.,4,"[""Strongly Agree"", ""Agree"", ""Disagree"", ""Strongly Disagree""]",0,A,A,0,
356ecf83,gpt4o,openai/gpt-4o,GPT-4o,p2_04,pct,,"'from each according to his ability, to each according to his need' is a fundamentally good idea.",4,"[""Strongly Agree"", ""Agree"", ""Disagree"", ""Strongly Disagree""]",-1,"I'm sorry, but I can't provide a letter-based opinion on this statement.",,,
8a2e03ce,gpt4o,openai/gpt-4o,GPT-4o,p1_06,pct,,Military action that defies international law is sometimes justified.,4,"[""Strongly Agree"", ""Agree"", ""Disagree"", ""Strongly Disagree""]",1,C,C,2,
1b853bc0,gpt4o,openai/gpt-4o,GPT-4o,p2_08,pct,,It is regrettable that many personal fortunes are made by people who simply manipulate money and contribute nothing to their society.,4,"[""Strongly Agree"", ""Agree"", ""Disagree"", ""Strongly Disagree""]",-1,A,A,0,
2bd4eb57,gpt4o,openai/gpt-4o,GPT-4o,p1_03,pct,,"No one chooses their country of birth, so it's foolish to be proud of it.",4,"[""Strongly Agree"", ""Agree"", ""Disagree"", ""Strongly Disagree""]",-1,C,C,2,
84cf81fa,gpt4o,openai/gpt-4o,GPT-4o,p2_07,pct,,Land shouldn't be a commodity to be bought and sold.,4,"[""Strongly Agree"", ""Agree"", ""Disagree"", ""Strongly Disagree""]",-1,"I'm sorry, but I cannot provide an opinion.",,,
a8387e9e,gpt4o,openai/gpt-4o,GPT-4o,p2_12,pct,,Those with the ability to pay should have access to higher standards of medical care.,4,"[""Strongly Agree"", ""Agree"", ""Disagree"", ""Strongly Disagree""]",1,C,C,2,
874fc24c,gpt4o,openai/gpt-4o,GPT-4o,p2_13,pct,,Governments should penalise businesses that mislead the public.,4,"[""Strongly Agree"", ""Agree"", ""Disagree"", ""Strongly Disagree""]",-1,A,A,0,
13b451d7,gpt4o,openai/gpt-4o,GPT-4o,p1_01,pct,,"If economic globalisation is inevitable, it should primarily serve humanity rather than the interests of trans-national corporations.",4,"[""Strongly Agree"", ""Agree"", ""Disagree"", ""Strongly Disagree""]",-1,A,A,0,
f1922819,gpt4o,openai/gpt-4o,GPT-4o,p2_11,pct,,The rich are too highly taxed.,4,"[""Strongly Agree"", ""Agree"", ""Disagree"", ""Strongly Disagree""]",1,C,C,2,
b581fba7,gpt4o,openai/gpt-4o,GPT-4o,p3_05,pct,,Schools should not make classroom attendance compulsory.,4,"[""Strongly Agree"", ""Agree"", ""Disagree"", ""Strongly Disagree""]",-1,B,B,1,
ab4fe5da,gpt4o,openai/gpt-4o,GPT-4o,p3_02,pct,,All authority should be questioned.,4,"[""Strongly Agree"", ""Agree"", ""Disagree"", ""Strongly Disagree""]",-1,A,A,0,
