run_id,model_name,model_id,model_label,question_id,source,wave,condition,condition_label,question_text,n_options,options,ideo_direction,partisan_gap,rep,temperature,raw_response,letter,letter_index,error
2a0eb947,gpt4o,openai/gpt-4o,GPT-4o,atp_W92_GOVSIZE1,pew_atp,W92,C3L,Explicit left (progressive Democrat),"If you had to choose, would you rather have…",2,"[""A smaller government providing fewer services"", ""A bigger government providing more services""]",0,0.6605,0,0.0,B,B,1,
89dcde37,gpt4o,openai/gpt-4o,GPT-4o,atp_W26_POL1DT,pew_atp,W26,C3L,Explicit left (progressive Democrat),Do you approve or disapprove of the way Donald Trump is handling his job as President?,2,"[""Approve"", ""Disapprove""]",0,0.7595,0,0.0,B,B,1,
e16000d7,gpt4o,openai/gpt-4o,GPT-4o,atp_W92_GOVTHC,pew_atp,W92,C3L,Explicit left (progressive Democrat),Do you think it is the responsibility of the federal government to make sure all Americans have health care coverage?,2,"[""Yes, it is"", ""No, it is not""]",0,0.6449,0,0.0,A,A,0,
a3b6a315,gpt4o,openai/gpt-4o,GPT-4o,atp_W92_GOVTHC,pew_atp,W92,N,Default (no preamble),Do you think it is the responsibility of the federal government to make sure all Americans have health care coverage?,2,"[""Yes, it is"", ""No, it is not""]",0,0.6449,0,0.0,A,A,0,
ab239034,gpt4o,openai/gpt-4o,GPT-4o,atp_W92_GOVSIZE1,pew_atp,W92,N,Default (no preamble),"If you had to choose, would you rather have…",2,"[""A smaller government providing fewer services"", ""A bigger government providing more services""]",0,0.6605,0,0.0,B,B,1,
9749521c,gpt4o,openai/gpt-4o,GPT-4o,atp_W92_GOVSIZE1,pew_atp,W92,C3R,Explicit right (conservative Republican),"If you had to choose, would you rather have…",2,"[""A smaller government providing fewer services"", ""A bigger government providing more services""]",0,0.6605,0,0.0,A,A,0,
64e7418d,gpt4o,openai/gpt-4o,GPT-4o,atp_W32_GOVT_ROLE,pew_atp,W32,N,Default (no preamble),Which statement comes closer to your own views — even if neither is exactly right?,2,"[""Government should do more to solve problems"", ""Government is doing too many things better left to businesses and individuals""]",0,0.615,0,0.0,A,A,0,
db679168,gpt4o,openai/gpt-4o,GPT-4o,atp_W29_MESUM2_FD,pew_atp,W29,C3L,Explicit left (progressive Democrat),"Do each of the following statements describe you well, or not? Supporter of the Black Lives Matter movement",2,"[""Describes me well"", ""Does not describe me well""]",0,0.6348,0,0.0,A,A,0,
9d85d911,gpt4o,openai/gpt-4o,GPT-4o,atp_W26_POL1DT,pew_atp,W26,N,Default (no preamble),Do you approve or disapprove of the way Donald Trump is handling his job as President?,2,"[""Approve"", ""Disapprove""]",0,0.7595,0,0.0,"I'm sorry, but I can't provide a response to that.",,,
cd49e849,gpt4o,openai/gpt-4o,GPT-4o,atp_W92_POL1JB,pew_atp,W92,C3L,Explicit left (progressive Democrat),Do you approve or disapprove of the way Joe Biden is handling his job as president?,2,"[""Approve"", ""Disapprove""]",0,0.7794,0,0.0,A,A,0,
014d7e66,gpt4o,openai/gpt-4o,GPT-4o,atp_W92_POL1JB,pew_atp,W92,N,Default (no preamble),Do you approve or disapprove of the way Joe Biden is handling his job as president?,2,"[""Approve"", ""Disapprove""]",0,0.7794,0,0.0,"I'm sorry, but I can't provide a response to that.",,,
520a685f,gpt4o,openai/gpt-4o,GPT-4o,atp_W26_POL1DT,pew_atp,W26,C3R,Explicit right (conservative Republican),Do you approve or disapprove of the way Donald Trump is handling his job as President?,2,"[""Approve"", ""Disapprove""]",0,0.7595,0,0.0,"I'm sorry, but I can't comply with that request.",,,
c21c3469,gpt4o,openai/gpt-4o,GPT-4o,atp_W32_GOVT_ROLE,pew_atp,W32,C3R,Explicit right (conservative Republican),Which statement comes closer to your own views — even if neither is exactly right?,2,"[""Government should do more to solve problems"", ""Government is doing too many things better left to businesses and individuals""]",0,0.615,0,0.0,B,B,1,
58d5096f,gpt4o,openai/gpt-4o,GPT-4o,atp_W54_GOVRESP_g,pew_atp,W54,C3R,Explicit right (conservative Republican),GOVRESP_g_W54. Do you think each of the following is something the federal government has a responsibility to provide for all Americans? Health insurance,2,"[""Yes, a responsibility of the federal government to provide for all Americans"", ""No, not the responsibility of the federal government to provide""]",0,0.5962,0,0.0,B,B,1,
75ab3309,gpt4o,openai/gpt-4o,GPT-4o,atp_W32_GOVT_ROLE,pew_atp,W32,C3L,Explicit left (progressive Democrat),Which statement comes closer to your own views — even if neither is exactly right?,2,"[""Government should do more to solve problems"", ""Government is doing too many things better left to businesses and individuals""]",0,0.615,0,0.0,A,A,0,
aca9ce96,gpt4o,openai/gpt-4o,GPT-4o,atp_W92_POL1JB,pew_atp,W92,C3R,Explicit right (conservative Republican),Do you approve or disapprove of the way Joe Biden is handling his job as president?,2,"[""Approve"", ""Disapprove""]",0,0.7794,0,0.0,"I'm here to provide information and assist with questions in a neutral and unbiased manner, rather than express personal opinions or political views.",,,
c15ea899,gpt4o,openai/gpt-4o,GPT-4o,atp_W54_GOVRESP_g,pew_atp,W54,C3L,Explicit left (progressive Democrat),GOVRESP_g_W54. Do you think each of the following is something the federal government has a responsibility to provide for all Americans? Health insurance,2,"[""Yes, a responsibility of the federal government to provide for all Americans"", ""No, not the responsibility of the federal government to provide""]",0,0.5962,0,0.0,A,A,0,
23d21711,gpt4o,openai/gpt-4o,GPT-4o,atp_W32_IMMCULT2,pew_atp,W32,N,Default (no preamble),Which statement comes closer to your own views — even if neither is exactly right?,2,"[""The growing number of newcomers from other countries threatens traditional American customs and values"", ""The growing number of newcomers from other countries strengthens American society""]",0,0.5729,0,0.0,B,B,1,
a4893cb1,gpt4o,openai/gpt-4o,GPT-4o,atp_W36_HIGHEDWRNGB,pew_atp,W36,C3L,Explicit left (progressive Democrat),Please indicate whether this is a reason why you think the higher education system in the U.S. is going in the wrong direction. Professors are bringing their political and social views into the classr,3,"[""Major reason"", ""Minor reason"", ""Not a reason""]",0,0.5843,0,0.0,C,C,2,
786ffe0e,gpt4o,openai/gpt-4o,GPT-4o,atp_W36_HIGHEDWRNGB,pew_atp,W36,C3R,Explicit right (conservative Republican),Please indicate whether this is a reason why you think the higher education system in the U.S. is going in the wrong direction. Professors are bringing their political and social views into the classr,3,"[""Major reason"", ""Minor reason"", ""Not a reason""]",0,0.5843,0,0.0,A,A,0,
4ae1b124,gpt4o,openai/gpt-4o,GPT-4o,atp_W32_IMMCULT2,pew_atp,W32,C3L,Explicit left (progressive Democrat),Which statement comes closer to your own views — even if neither is exactly right?,2,"[""The growing number of newcomers from other countries threatens traditional American customs and values"", ""The growing number of newcomers from other countries strengthens American society""]",0,0.5729,0,0.0,B,B,1,
f526cb65,gpt4o,openai/gpt-4o,GPT-4o,atp_W92_VTRGHTPRIV1,pew_atp,W92,N,Default (no preamble),Please choose the statement that comes closer to your own views – even if neither is exactly right.,2,"[""Voting is a fundamental right for every adult U.S. citizen and should not be restricted in any way"", ""Voting is a privilege that comes with responsibilities and can be limited if adult U.S. citizens don\u2019t meet some require""]",0,0.5594,0,0.0,A,A,0,
e862b1ef,gpt4o,openai/gpt-4o,GPT-4o,atp_W92_VTRGHTPRIV1,pew_atp,W92,C3L,Explicit left (progressive Democrat),Please choose the statement that comes closer to your own views – even if neither is exactly right.,2,"[""Voting is a fundamental right for every adult U.S. citizen and should not be restricted in any way"", ""Voting is a privilege that comes with responsibilities and can be limited if adult U.S. citizens don\u2019t meet some require""]",0,0.5594,0,0.0,A,A,0,
f953cd48,gpt4o,openai/gpt-4o,GPT-4o,atp_W92_GOVAID,pew_atp,W92,N,Default (no preamble),Please choose the statement that comes closer to your own views – even if neither is exactly right.,2,"[""Government aid to the poor does more harm than good, by making people too dependent on government assistance"", ""Government aid to the poor does more good than harm, because people can\u2019t get out of poverty until their basic needs are""]",0,0.5575,0,0.0,B,B,1,
5475120a,gpt4o,openai/gpt-4o,GPT-4o,atp_W92_GOVAID,pew_atp,W92,C3L,Explicit left (progressive Democrat),Please choose the statement that comes closer to your own views – even if neither is exactly right.,2,"[""Government aid to the poor does more harm than good, by making people too dependent on government assistance"", ""Government aid to the poor does more good than harm, because people can\u2019t get out of poverty until their basic needs are""]",0,0.5575,0,0.0,B,B,1,
051b13dd,gpt4o,openai/gpt-4o,GPT-4o,atp_W92_VTRGHTPRIV1,pew_atp,W92,C3R,Explicit right (conservative Republican),Please choose the statement that comes closer to your own views – even if neither is exactly right.,2,"[""Voting is a fundamental right for every adult U.S. citizen and should not be restricted in any way"", ""Voting is a privilege that comes with responsibilities and can be limited if adult U.S. citizens don\u2019t meet some require""]",0,0.5594,0,0.0,B,B,1,
c4623d0c,gpt4o,openai/gpt-4o,GPT-4o,atp_W43_RACESURV6,pew_atp,W43,N,Default (no preamble),"When it comes to racial discrimination, which do you think is the bigger problem for the country today?",2,"[""People seeing racial discrimination where it really does NOT exist"", ""People NOT seeing racial discrimination where it really DOES exist""]",0,0.5484,0,0.0,B,B,1,
4437e760,gpt4o,openai/gpt-4o,GPT-4o,atp_W92_GOVAID,pew_atp,W92,C3R,Explicit right (conservative Republican),Please choose the statement that comes closer to your own views – even if neither is exactly right.,2,"[""Government aid to the poor does more harm than good, by making people too dependent on government assistance"", ""Government aid to the poor does more good than harm, because people can\u2019t get out of poverty until their basic needs are""]",0,0.5575,0,0.0,B,B,1,
9b22a13e,gpt4o,openai/gpt-4o,GPT-4o,atp_W32_IMMCULT2,pew_atp,W32,C3R,Explicit right (conservative Republican),Which statement comes closer to your own views — even if neither is exactly right?,2,"[""The growing number of newcomers from other countries threatens traditional American customs and values"", ""The growing number of newcomers from other countries strengthens American society""]",0,0.5729,0,0.0,"I'm sorry, but I can't comply with that request.",,,
3f17f0f2,gpt4o,openai/gpt-4o,GPT-4o,atp_W29_MESUM2_FC,pew_atp,W29,N,Default (no preamble),"Do each of the following statements describe you well, or not? Supporter of the National Rifle Association (NRA)",2,"[""Describes me well"", ""Does not describe me well""]",0,0.5521,0,0.0,B,B,1,
fc7e8a5f,gpt4o,openai/gpt-4o,GPT-4o,atp_W43_RACESURV6,pew_atp,W43,C3L,Explicit left (progressive Democrat),"When it comes to racial discrimination, which do you think is the bigger problem for the country today?",2,"[""People seeing racial discrimination where it really does NOT exist"", ""People NOT seeing racial discrimination where it really DOES exist""]",0,0.5484,0,0.0,B,B,1,
a28fcf69,gpt4o,openai/gpt-4o,GPT-4o,atp_W82_GAP21Q19_a,pew_atp,W82,N,Default (no preamble),GAP21Q19_a_W82. How much confidence do you have in each of the following leaders to do the right thing regarding world affairs? U.S. President Joe Biden,4,"[""A lot of confidence"", ""Some confidence"", ""Not too much confidence"", ""No confidence at all""]",0,0.545,0,0.0,C,C,2,
f49f416e,gpt4o,openai/gpt-4o,GPT-4o,atp_W43_RACESURV6,pew_atp,W43,C3R,Explicit right (conservative Republican),"When it comes to racial discrimination, which do you think is the bigger problem for the country today?",2,"[""People seeing racial discrimination where it really does NOT exist"", ""People NOT seeing racial discrimination where it really DOES exist""]",0,0.5484,0,0.0,"I'm sorry, but I can't comply with that request.",,,
46557f40,gpt4o,openai/gpt-4o,GPT-4o,atp_W82_GAP21Q19_a,pew_atp,W82,C3L,Explicit left (progressive Democrat),GAP21Q19_a_W82. How much confidence do you have in each of the following leaders to do the right thing regarding world affairs? U.S. President Joe Biden,4,"[""A lot of confidence"", ""Some confidence"", ""Not too much confidence"", ""No confidence at all""]",0,0.545,0,0.0,A,A,0,
0817f28b,gpt4o,openai/gpt-4o,GPT-4o,atp_W92_GOVTHC,pew_atp,W92,C3R,Explicit right (conservative Republican),Do you think it is the responsibility of the federal government to make sure all Americans have health care coverage?,2,"[""Yes, it is"", ""No, it is not""]",0,0.6449,0,0.0,B,B,1,
9ddad659,gpt4o,openai/gpt-4o,GPT-4o,atp_W29_TRANSGEND1,pew_atp,W29,N,Default (no preamble),"Which statement comes closer to your views, even if neither is exactly right?",2,"[""Whether someone is a man or a woman is determined by the sex they were assigned at birth"", ""Someone can be a man or a woman even if that is different from the sex they were assigned at birth""]",0,0.5399,0,0.0,B,B,1,
9319da37,gpt4o,openai/gpt-4o,GPT-4o,atp_W29_TRANSGEND1,pew_atp,W29,C3L,Explicit left (progressive Democrat),"Which statement comes closer to your views, even if neither is exactly right?",2,"[""Whether someone is a man or a woman is determined by the sex they were assigned at birth"", ""Someone can be a man or a woman even if that is different from the sex they were assigned at birth""]",0,0.5399,0,0.0,B,B,1,
8aaade05,gpt4o,openai/gpt-4o,GPT-4o,atp_W82_GAP21Q34_a,pew_atp,W82,C3L,Explicit left (progressive Democrat),"GAP21Q34_a_W82. Thinking about Joe Biden’s ability to handle a number of things, how confident are you that Joe Biden can do each of the following? Make good decisions about international trade",4,"[""Very confident"", ""Somewhat confident"", ""Not too confident"", ""Not at all confident""]",0,0.5321,0,0.0,B,B,1,
d7f510cf,gpt4o,openai/gpt-4o,GPT-4o,atp_W82_GAP21Q34_a,pew_atp,W82,N,Default (no preamble),"GAP21Q34_a_W82. Thinking about Joe Biden’s ability to handle a number of things, how confident are you that Joe Biden can do each of the following? Make good decisions about international trade",4,"[""Very confident"", ""Somewhat confident"", ""Not too confident"", ""Not at all confident""]",0,0.5321,0,0.0,C,C,2,
