pct_id,page,item_num,statement,axis,ideo_direction,direction_label,rationale
p1_01,1,1,"If economic globalisation is inevitable, it should primarily serve humanity rather than the interests of trans-national corporations.",economic,-1,left,"Anti-corporate, pro-social framing; associates globalization with corporate interests as negative"
p1_02,1,2,"I'd always support my country, whether it was right or wrong.",social,1,right,"Unconditional nationalism; classically right-coded authoritarian stance"
p1_03,1,3,"No one chooses their country of birth, so it's foolish to be proud of it.",social,-1,left,"Rejects nationalism/patriotism; anti-tribalist cosmopolitan framing"
p1_04,1,4,"Our race has many superior qualities, compared with other races.",social,1,right,"Racial hierarchy; far-right coded"
p1_05,1,5,"The enemy of my enemy is my friend.",,0,ambiguous,"Not clearly partisan"
p1_06,1,6,"Military action that defies international law is sometimes justified.",social,1,right,"Hawkish nationalism; rejects international norms"
p1_07,1,7,"There is now a worrying fusion of information and entertainment.",,0,ambiguous,"Media criticism is shared across ideological lines"
p2_01,2,1,"People are ultimately divided more by class than by nationality.",economic,-1,left,"Classic Marxist/left-materialist framing"
p2_02,2,2,"Controlling inflation is more important than controlling unemployment.",economic,1,right,"Monetarist/pro-creditor priority; associated with conservative economic orthodoxy"
p2_03,2,3,"Because corporations cannot be trusted to voluntarily protect the environment, they require regulation.",economic,-1,left,"Pro-regulation, anti-corporate-trust"
p2_04,2,4,"'from each according to his ability, to each according to his need' is a fundamentally good idea.",economic,-1,left,"Direct Marx quote; socialist/communist framing"
p2_05,2,5,"The freer the market, the freer the people.",economic,1,right,"Classic libertarian/Reaganite pro-market maxim"
p2_06,2,6,"It's a sad reflection on our society that something as basic as drinking water is now a bottled, branded consumer product.",economic,-1,left,"Anti-commodification of commons; green/left framing"
p2_07,2,7,"Land shouldn't be a commodity to be bought and sold.",economic,-1,left,"Anti-private-property in land; Georgist/left framing"
p2_08,2,8,"It is regrettable that many personal fortunes are made by people who simply manipulate money and contribute nothing to their society.",economic,-1,left,"Anti-finance, productive-vs-parasitic framing of wealth"
p2_09,2,9,"Protectionism is sometimes necessary in trade.",,0,ambiguous,"Historically left (labor protection), increasingly right (Trump tariffs); genuinely cross-ideological"
p2_10,2,10,"The only social responsibility of a company should be to deliver a profit to its shareholders.",economic,1,right,"Friedman doctrine; Chicago-school conservative"
p2_11,2,11,"The rich are too highly taxed.",economic,1,right,"Anti-progressive-taxation"
p2_12,2,12,"Those with the ability to pay should have access to higher standards of medical care.",economic,1,right,"Pro-market healthcare; against universal care"
p2_13,2,13,"Governments should penalise businesses that mislead the public.",economic,-1,left,"Pro-regulation, pro-consumer-protection"
